Cancer Type,Cell Lines,Target 1,Target 2,Target 3,Drug 1,Drug 2,Drug 3,Synergy,Resistance,Coverage,Druggable,Best_Combo_Size,Best_Combo_1,Best_Combo_2,Best_Combo_3,Best_Combo_Score
Head and Neck Squamous Cell Carcinoma,89,CDK6,ERBB2,MAP2K1,palbociclib,trastuzumab,trametinib,0.94,0.00,55.1%,3/3,2,ERBB2,MET,,0.885
Invasive Breast Carcinoma,82,ERBB2,JAK1,MAP2K1,trastuzumab,ruxolitinib,trametinib,0.94,0.00,51.2%,3/3,2,ERBB2,MET,,0.858
Endometrial Carcinoma,37,BCL2L1,CDK4,ERBB2,navitoclax,palbociclib,trastuzumab,0.94,0.39,51.2%,3/3,2,EGFR,MAP2K1,,0.998
Liposarcoma,13,MAP2K1,MET,SRC,trametinib,capmatinib,dasatinib,0.94,0.39,51.3%,3/3,3,MAP2K1,MET,SRC,0.911
Prostate Adenocarcinoma,6,BCL2L1,CDK4,MAP2K1,navitoclax,palbociclib,trametinib,0.94,0.39,51.3%,3/3,3,BCL2L1,CDK4,MAP2K1,0.892
Pancreatic Adenocarcinoma,64,FYN,KRAS,STAT3,dasatinib,sotorasib,napabucasin,0.94,0.44,71.8%,3/3,2,KRAS,STAT3,,0.362
Bladder Urothelial Carcinoma,35,BRAF,MET,SRC,vemurafenib,capmatinib,dasatinib,0.94,0.45,51.4%,3/3,3,BRAF,MET,SRC,0.815
Diffuse Glioma,96,BRAF,MET,SRC,vemurafenib,capmatinib,dasatinib,0.94,0.45,50.0%,3/3,3,BRAF,MET,SRC,0.820
Acute Myeloid Leukemia,64,BCL2L1,ERBB2,MET,navitoclax,trastuzumab,capmatinib,0.81,0.00,57.1%,3/3,3,BCL2L1,ERBB2,MET,0.629
Anaplastic Thyroid Cancer,13,ERBB2,MAP2K1,MET,trastuzumab,trametinib,capmatinib,0.81,0.00,51.1%,3/3,3,ERBB2,MAP2K1,MET,0.655
Colorectal Adenocarcinoma,96,BCL2L1,ERBB2,MET,navitoclax,trastuzumab,capmatinib,0.81,0.00,51.4%,3/3,3,BCL2L1,ERBB2,MET,0.612
Hepatocellular Carcinoma,24,BCL2L1,ERBB2,MET,navitoclax,trastuzumab,capmatinib,0.81,0.00,50.0%,3/3,3,BCL2L1,ERBB2,MET,0.679
Non-Small Cell Lung Cancer,165,ERBB2,MAP2K1,MET,trastuzumab,trametinib,capmatinib,0.81,0.00,50.0%,3/3,3,ERBB2,MAP2K1,MET,0.774
Ovarian Epithelial Tumor,71,ERBB2,MAP2K1,MET,trastuzumab,trametinib,capmatinib,0.81,0.00,50.0%,3/3,3,ERBB2,MAP2K1,MET,0.586
Esophagogastric Adenocarcinoma,74,BCL2L1,CDK4,CDK6,navitoclax,palbociclib,palbociclib,0.81,0.26,51.2%,3/3,3,BCL2L1,CDK4,CDK6,0.880
Melanoma,135,BRAF,ERBB2,MET,vemurafenib,trastuzumab,capmatinib,0.81,0.39,56.2%,3/3,3,BRAF,ERBB2,MET,0.832
Renal Cell Carcinoma,56,ERBB2,MET,SRC,trastuzumab,capmatinib,dasatinib,0.81,0.39,54.1%,3/3,3,ERBB2,MET,SRC,0.805
