Cancer Type,Cell Lines,Target 1,Target 2,Target 3,Drug 1,Drug 2,Drug 3,Synergy,Resistance,Coverage,Druggable,Best_Combo_Size,Best_Combo_1,Best_Combo_2,Best_Combo_3,Best_Combo_Score
Bladder Urothelial Carcinoma,35,CDK6,MAP2K1,STAT3,palbociclib,trametinib,napabucasin,0.94,0.35,59.6%,3/3,2,CDK6,STAT3,,0.446
Diffuse Glioma,96,CDK6,FGFR1,STAT3,palbociclib,erdafitinib,napabucasin,0.94,0.35,57.6%,3/3,2,FGFR1,STAT3,,0.434
Endometrial Carcinoma,37,CDK2,FYN,STAT3,dinaciclib,dasatinib,napabucasin,0.94,0.35,50.0%,3/3,2,MAP2K1,STAT3,,0.459
Esophagogastric Adenocarcinoma,74,CDK6,PIK3CA,STAT3,palbociclib,alpelisib,napabucasin,0.94,0.35,60.3%,3/3,2,FYN,STAT3,,0.437
Head and Neck Squamous Cell Carcinoma,89,CDK6,ERBB2,STAT3,palbociclib,trastuzumab,napabucasin,0.94,0.35,67.2%,3/3,2,CDK6,EGFR,,0.412
Non-Small Cell Lung Cancer,165,CDK6,MAP2K1,STAT3,palbociclib,trametinib,napabucasin,0.94,0.35,63.2%,3/3,2,FYN,STAT3,,0.431
Ovarian Epithelial Tumor,71,ERBB2,FYN,STAT3,trastuzumab,dasatinib,napabucasin,0.94,0.35,52.9%,3/3,2,FYN,STAT3,,0.444
Renal Cell Carcinoma,56,CDK6,MAP2K1,STAT3,palbociclib,trametinib,napabucasin,0.94,0.35,59.6%,3/3,2,CDK6,STAT3,,0.422
Hepatocellular Carcinoma,24,CDK4,FGFR1,STAT3,palbociclib,erdafitinib,napabucasin,0.94,0.44,58.8%,3/3,2,FGFR1,STAT3,,0.423
Invasive Breast Carcinoma,82,CDK4,ERBB2,STAT3,palbociclib,trastuzumab,napabucasin,0.94,0.44,69.6%,3/3,2,CDK4,ERBB2,,0.397
Liposarcoma,13,CDK4,FGFR1,STAT3,palbociclib,erdafitinib,napabucasin,0.94,0.44,53.7%,3/3,2,FGFR1,STAT3,,0.392
Pancreatic Adenocarcinoma,64,CDK6,KRAS,STAT3,palbociclib,sotorasib,napabucasin,0.94,0.44,51.9%,3/3,2,KRAS,STAT3,,0.387
Prostate Adenocarcinoma,6,CDK4,MAP2K1,STAT3,palbociclib,trametinib,napabucasin,0.94,0.44,59.3%,3/3,2,CDK4,STAT3,,0.351
Colorectal Adenocarcinoma,96,CDK4,KRAS,STAT3,palbociclib,sotorasib,napabucasin,0.94,0.47,58.0%,3/3,2,KRAS,STAT3,,0.416
Melanoma,135,BRAF,CDK4,STAT3,vemurafenib,palbociclib,napabucasin,0.94,0.47,66.7%,3/3,2,BRAF,STAT3,,0.359
Acute Myeloid Leukemia,64,CDK4,CDK6,STAT3,palbociclib,palbociclib,napabucasin,0.81,0.35,51.7%,3/3,2,CDK6,MCL1,,0.442
Anaplastic Thyroid Cancer,13,BRAF,MAP2K1,STAT3,vemurafenib,trametinib,napabucasin,0.81,0.35,66.1%,3/3,2,MAP2K1,STAT3,,0.403
