Cancer_Type,Gene,Available_Drugs,Clinical_Stage,Availability_Score,Selectivity_Caveats,Narrow_TW,Toxicities
Esophagogastric Adenocarcinoma,CDK6,"palbociclib, ribociclib, abemaciclib",approved,1.00,-,-,neutropenia
Esophagogastric Adenocarcinoma,EGFR,"erlotinib, gefitinib, osimertinib, afatinib, cetuximab",approved,1.00,-,-,"rash, diarrhea, ILD"
Esophagogastric Adenocarcinoma,PIK3CA,"alpelisib, idelalisib, copanlisib",approved,1.00,-,-,"hyperglycemia, rash, diarrhea"
Colorectal Adenocarcinoma,BRAF,"vemurafenib, dabrafenib, encorafenib",approved,1.00,-,-,"rash, photosensitivity"
Colorectal Adenocarcinoma,EGFR,"erlotinib, gefitinib, osimertinib, afatinib, cetuximab",approved,1.00,-,-,"rash, diarrhea, ILD"
Colorectal Adenocarcinoma,KRAS,"sotorasib, adagrasib",approved,0.90,-,-,"diarrhea, hepatotoxicity"
Pancreatic Adenocarcinoma,BRAF,"vemurafenib, dabrafenib, encorafenib",approved,1.00,-,-,"rash, photosensitivity"
Pancreatic Adenocarcinoma,KRAS,"sotorasib, adagrasib",approved,0.90,-,-,"diarrhea, hepatotoxicity"
Pancreatic Adenocarcinoma,STAT3,"napabucasin, TTI-101, stattic",phase2,0.65,-,-,GI toxicity
Melanoma,CDK6,"palbociclib, ribociclib, abemaciclib",approved,1.00,-,-,neutropenia
Melanoma,EGFR,"erlotinib, gefitinib, osimertinib, afatinib, cetuximab",approved,1.00,-,-,"rash, diarrhea, ILD"
Melanoma,MAP2K1,"trametinib, cobimetinib, binimetinib",approved,1.00,-,-,"rash, retinopathy"
Non-Small Cell Lung Cancer,CDK6,"palbociclib, ribociclib, abemaciclib",approved,1.00,-,-,neutropenia
Non-Small Cell Lung Cancer,EGFR,"erlotinib, gefitinib, osimertinib, afatinib, cetuximab",approved,1.00,-,-,"rash, diarrhea, ILD"
Non-Small Cell Lung Cancer,MAP2K1,"trametinib, cobimetinib, binimetinib",approved,1.00,-,-,"rash, retinopathy"
Anaplastic Thyroid Cancer,CDK6,"palbociclib, ribociclib, abemaciclib",approved,1.00,-,-,neutropenia
Anaplastic Thyroid Cancer,EGFR,"erlotinib, gefitinib, osimertinib, afatinib, cetuximab",approved,1.00,-,-,"rash, diarrhea, ILD"
Anaplastic Thyroid Cancer,MAP2K1,"trametinib, cobimetinib, binimetinib",approved,1.00,-,-,"rash, retinopathy"
Invasive Breast Carcinoma,BCL2L1,navitoclax,phase2,0.55,navitoclax: BCL2/BCL-XL/BCL-W (on-target thrombocytopenia from BCL-XL),On-target thrombocytopenia (navitoclax); limits dosing,thrombocytopenia
Invasive Breast Carcinoma,EGFR,"erlotinib, gefitinib, osimertinib, afatinib, cetuximab",approved,1.00,-,-,"rash, diarrhea, ILD"
Invasive Breast Carcinoma,MAP2K1,"trametinib, cobimetinib, binimetinib",approved,1.00,-,-,"rash, retinopathy"
Renal Cell Carcinoma,CDK6,"palbociclib, ribociclib, abemaciclib",approved,1.00,-,-,neutropenia
Renal Cell Carcinoma,EGFR,"erlotinib, gefitinib, osimertinib, afatinib, cetuximab",approved,1.00,-,-,"rash, diarrhea, ILD"
Renal Cell Carcinoma,MAP2K1,"trametinib, cobimetinib, binimetinib",approved,1.00,-,-,"rash, retinopathy"
Prostate Adenocarcinoma,CDK2,dinaciclib,phase2,0.55,dinaciclib: CDK1/2/5/9 (pan-CDK; narrow therapeutic window),"Pan-CDK inhibitor dinaciclib: severe myelosuppression, narrow TW",myelosuppression
Prostate Adenocarcinoma,EGFR,"erlotinib, gefitinib, osimertinib, afatinib, cetuximab",approved,1.00,-,-,"rash, diarrhea, ILD"
Prostate Adenocarcinoma,MAP2K1,"trametinib, cobimetinib, binimetinib",approved,1.00,-,-,"rash, retinopathy"
Bladder Urothelial Carcinoma,CDK2,dinaciclib,phase2,0.55,dinaciclib: CDK1/2/5/9 (pan-CDK; narrow therapeutic window),"Pan-CDK inhibitor dinaciclib: severe myelosuppression, narrow TW",myelosuppression
Bladder Urothelial Carcinoma,EGFR,"erlotinib, gefitinib, osimertinib, afatinib, cetuximab",approved,1.00,-,-,"rash, diarrhea, ILD"
