Cancer_Type,Targets,Drugs,Combined_Score,Drug_Availability,Selectivity,Tox_Feasibility,Clinical_Precedent,Feasibility_Score,Adjusted_Score,Original_Rank,Feasibility_Rank,Rank_Change,Num_Red_Flags,Red_Flag_Summary,Precedent_Matches
Acute Myeloid Leukemia,CDK6+ERBB2+MCL1,palbociclib+trastuzumab+AMG-176,0.000,0.783,0.880,0.750,0.000,0.642,0.000,1,1,0,1,Overlapping cardiotoxicity: ERBB2+MCL1 (2 targets share cardiotoxicity risk),None
Colorectal Adenocarcinoma,BRAF+EGFR+KRAS,vemurafenib+erlotinib+sotorasib,0.000,0.967,1.000,0.850,1.000,0.952,0.000,2,2,0,2,Overlapping dermatologic: EGFR+BRAF (2 targets share dermatologic risk); Overlapping gastrointestinal: EGFR+KRAS (2 targets share gastrointestinal risk),Full match: BRAF+EGFR (FDA_approved); Partial: BRAF+EGFR of BRAF+EGFR+MAP2K1 (Phase_3); Full match: EGFR+KRAS (Phase_2)
Melanoma,CDK6+EGFR+MAP2K1,palbociclib+erlotinib+trametinib,0.000,1.000,1.000,0.950,0.500,0.887,0.000,3,3,0,1,Overlapping dermatologic: EGFR+MAP2K1 (2 targets share dermatologic risk),Partial: MAP2K1 of BRAF+MAP2K1 (FDA_approved)
Non-Small Cell Lung Cancer,CDK6+EGFR+MAP2K1,palbociclib+erlotinib+trametinib,0.000,1.000,1.000,0.950,1.000,0.988,0.000,4,4,0,1,Overlapping dermatologic: EGFR+MAP2K1 (2 targets share dermatologic risk),Partial: MAP2K1 of BRAF+MAP2K1 (FDA_approved); Partial: EGFR of EGFR+MET (FDA_approved); Partial: EGFR of EGFR+KRAS (Phase_2); Full match: EGFR (FDA_approved); Partial: MAP2K1 of KRAS+MAP2K1 (Phase_2)
Anaplastic Thyroid Cancer,CDK6+EGFR+MAP2K1,palbociclib+erlotinib+trametinib,0.000,1.000,1.000,0.950,0.500,0.887,0.000,5,5,0,1,Overlapping dermatologic: EGFR+MAP2K1 (2 targets share dermatologic risk),Partial: MAP2K1 of BRAF+MAP2K1 (FDA_approved)
Invasive Breast Carcinoma,BCL2L1+EGFR+MAP2K1,navitoclax+erlotinib+trametinib,0.000,0.850,0.800,0.950,0.500,0.792,0.000,6,6,0,1,Overlapping dermatologic: EGFR+MAP2K1 (2 targets share dermatologic risk),Partial: EGFR of EGFR+ERBB2 (FDA_approved)
Renal Cell Carcinoma,CDK6+EGFR+MAP2K1,palbociclib+erlotinib+trametinib,0.000,1.000,1.000,0.950,0.000,0.787,0.000,7,7,0,1,Overlapping dermatologic: EGFR+MAP2K1 (2 targets share dermatologic risk),None
Prostate Adenocarcinoma,CDK2+EGFR+MAP2K1,dinaciclib+erlotinib+trametinib,0.000,0.850,0.800,0.950,0.000,0.693,0.000,8,8,0,1,Overlapping dermatologic: EGFR+MAP2K1 (2 targets share dermatologic risk),None
Bladder Urothelial Carcinoma,CDK2+EGFR+MAP2K1,dinaciclib+erlotinib+trametinib,0.000,0.850,0.800,0.950,0.300,0.752,0.000,9,9,0,1,Overlapping dermatologic: EGFR+MAP2K1 (2 targets share dermatologic risk),Partial: MAP2K1 of FGFR1+MAP2K1 (Phase_2)
Esophagogastric Adenocarcinoma,CDK6+EGFR+MAP2K1,palbociclib+erlotinib+trametinib,0.000,1.000,1.000,0.950,0.000,0.787,0.000,10,10,0,1,Overlapping dermatologic: EGFR+MAP2K1 (2 targets share dermatologic risk),None
