Cancer_Type,Targets,Combined_Score,Original_Rank,Feasibility,Adjusted_Score,Feasibility_Rank,Rank_Change
Acute Myeloid Leukemia,CDK6+ERBB2+MCL1,0.000,1,0.642,0.000,1,0
Colorectal Adenocarcinoma,BRAF+EGFR+KRAS,0.000,2,0.952,0.000,2,0
Melanoma,CDK6+EGFR+MAP2K1,0.000,3,0.887,0.000,3,0
Non-Small Cell Lung Cancer,CDK6+EGFR+MAP2K1,0.000,4,0.988,0.000,4,0
Anaplastic Thyroid Cancer,CDK6+EGFR+MAP2K1,0.000,5,0.887,0.000,5,0
Invasive Breast Carcinoma,BCL2L1+EGFR+MAP2K1,0.000,6,0.792,0.000,6,0
Renal Cell Carcinoma,CDK6+EGFR+MAP2K1,0.000,7,0.787,0.000,7,0
Prostate Adenocarcinoma,CDK2+EGFR+MAP2K1,0.000,8,0.693,0.000,8,0
Bladder Urothelial Carcinoma,CDK2+EGFR+MAP2K1,0.000,9,0.752,0.000,9,0
Esophagogastric Adenocarcinoma,CDK6+EGFR+MAP2K1,0.000,10,0.787,0.000,10,0
Head and Neck Squamous Cell Carcinoma,CDK4+CDK6+ERBB2,0.000,11,0.675,0.000,11,0
Pancreatic Adenocarcinoma,EGFR+KRAS+MET,0.000,12,0.740,0.000,12,0
Ovarian Epithelial Tumor,CDK6+EGFR+MET,0.000,13,0.755,0.000,13,0
Endometrial Carcinoma,CDK2+EGFR+MET,0.000,14,0.650,0.000,14,0
Hepatocellular Carcinoma,EGFR+FGFR1+MET,0.000,15,0.945,0.000,15,0
Liposarcoma,EGFR+FGFR1+MET,0.000,16,0.745,0.000,16,0
Diffuse Glioma,EGFR+FGFR1+MET,0.000,17,0.745,0.000,17,0
Poorly Differentiated Thyroid Cancer,BRAF+MAP2K1+STAT3,0.420,19,0.952,0.441,18,+1
Clear Cell Sarcoma,CDK4+EGFR+FGFR1,0.404,18,0.790,0.511,19,-1
Mucosal Melanoma of the Vulva/Vagina,BRAF+FYN+STAT3,0.455,21,0.835,0.545,20,+1
Salivary Carcinoma,CDK6+EGFR+MET,0.440,20,0.755,0.583,21,-1
"Head and Neck Carcinoma, Other",CDK6+EGFR+MET,0.581,70,0.875,0.664,22,+48
