Cancer_Type,Lineage,Cell_Lines,Triple_Targets,Target_1,Target_2,Target_3,Combined_Score,Synergy_Score,Resistance_Score,Path_Coverage,Druggable_Count,Drug_1,Drug_2,Drug_3,Pathways_Covered,Targets,Val Score,Confidence,Evidence
Ovarian Germ Cell Tumor,Ovary/Fallopian Tube,1,KRAS + MET + STAT3,KRAS,MET,STAT3,0.594,0.92,0.35,100.0%,3,sotorasib,capmatinib,napabucasin,3,KRAS + MET + STAT3,0.56,MEDIUM,1
Anaplastic Thyroid Cancer,Thyroid,13,BRAF + KRAS + STAT3,BRAF,KRAS,STAT3,0.68,0.92,0.39,84.6%,3,vemurafenib,sotorasib,napabucasin,2,BRAF + KRAS + STAT3,0.56,MEDIUM,1
Ampullary Carcinoma,Ampulla of Vater,5,EGFR + KRAS + STAT3,EGFR,KRAS,STAT3,0.579,0.92,0.39,100.0%,3,erlotinib,sotorasib,napabucasin,3,EGFR + KRAS + STAT3,0.56,MEDIUM,2
Mucosal Melanoma of the Vulva/Vagina,Vulva/Vagina,3,BRAF + KRAS + STAT3,BRAF,KRAS,STAT3,0.545,0.92,0.39,100.0%,3,vemurafenib,sotorasib,napabucasin,2,BRAF + KRAS + STAT3,0.56,MEDIUM,1
Hepatoblastoma,Liver,3,BRAF + KRAS + STAT3,BRAF,KRAS,STAT3,0.63,0.92,0.39,85.7%,3,vemurafenib,sotorasib,napabucasin,2,BRAF + KRAS + STAT3,0.56,MEDIUM,1
Lung Neuroendocrine Tumor,Lung,85,CDK2 + KRAS + STAT3,CDK2,KRAS,STAT3,0.733,0.92,0.44,96.9%,3,dinaciclib,sotorasib,napabucasin,3,CDK2 + KRAS + STAT3,0.56,MEDIUM,1
Ovarian Epithelial Tumor,Ovary/Fallopian Tube,71,CDK2 + KRAS + STAT3,CDK2,KRAS,STAT3,0.733,0.92,0.44,92.2%,3,dinaciclib,sotorasib,napabucasin,3,CDK2 + KRAS + STAT3,0.56,MEDIUM,1
Endometrial Carcinoma,Uterus,37,CDK2 + KRAS + STAT3,CDK2,KRAS,STAT3,0.719,0.92,0.44,97.1%,3,dinaciclib,sotorasib,napabucasin,3,CDK2 + KRAS + STAT3,0.56,MEDIUM,1
Cervical Squamous Cell Carcinoma,Cervix,15,CDK2 + KRAS + STAT3,CDK2,KRAS,STAT3,0.751,0.92,0.44,88.2%,3,dinaciclib,sotorasib,napabucasin,3,CDK2 + KRAS + STAT3,0.56,MEDIUM,1
Merkel Cell Carcinoma,Skin,8,CDK2 + KRAS + STAT3,CDK2,KRAS,STAT3,0.643,0.92,0.44,100.0%,3,dinaciclib,sotorasib,napabucasin,3,CDK2 + KRAS + STAT3,0.56,MEDIUM,1
