Target,Discovery_Count,Translational_Count,Delta,Category
CCND1,21,0,21,Discovery-only
STAT3,19,6,13,Upranked in discovery
YAP1,6,0,6,Discovery-only
GRB2,6,0,6,Discovery-only
PTK2,6,0,6,Discovery-only
E2F3,5,0,5,Discovery-only
PXN,4,0,4,Discovery-only
CTNNB1,3,0,3,Discovery-only
CCNE1,3,0,3,Discovery-only
SREBF1,3,0,3,Discovery-only
SLC2A1,3,0,3,Discovery-only
MCL1,10,8,2,Upranked in discovery
MEK1,2,0,2,Discovery-only
PAX8,2,0,2,Discovery-only
GAB2,2,0,2,Discovery-only
FYN,4,2,2,Upranked in discovery
MAPK1,2,0,2,Discovery-only
STAT5A,2,0,2,Discovery-only
CFLAR,2,0,2,Discovery-only
ANKUB1,2,0,2,Discovery-only
MAPK3,1,0,1,Discovery-only
UROD,1,0,1,Discovery-only
MMGT1,1,0,1,Discovery-only
NFKB1,1,0,1,Discovery-only
NKX2-3,1,0,1,Discovery-only
NPIPB11,1,0,1,Discovery-only
UBE2D3,1,0,1,Discovery-only
TGIF1,1,0,1,Discovery-only
POU2AF1,1,0,1,Discovery-only
PPP1R12A,1,0,1,Discovery-only
TFCP2L1,1,0,1,Discovery-only
STX4,1,0,1,Discovery-only
PPP1R15B,1,0,1,Discovery-only
SOS1,1,0,1,Discovery-only
SPI1,1,0,1,Discovery-only
RAB10,1,0,1,Discovery-only
RAF1,1,0,1,Discovery-only
RPL15,1,0,1,Discovery-only
RPL21,1,0,1,Discovery-only
RPP25L,1,0,1,Discovery-only
RPS6KB1,1,0,1,Discovery-only
SEPHS2,1,0,1,Discovery-only
LDB1,1,0,1,Discovery-only
SPECC1L,1,0,1,Discovery-only
SOX10,1,0,1,Discovery-only
SNAI2,1,0,1,Discovery-only
SNAP23,1,0,1,Discovery-only
SOCS3,1,0,1,Discovery-only
SKP2,1,0,1,Discovery-only
ADAR,1,0,1,Discovery-only
FERMT2,1,0,1,Discovery-only
GCLC,1,0,1,Discovery-only
E2F1,1,0,1,Discovery-only
EEFSEC,1,0,1,Discovery-only
CHMP4B,1,0,1,Discovery-only
ELMO2,1,0,1,Discovery-only
CFL1,1,0,1,Discovery-only
ERBB3,1,0,1,Discovery-only
CCNE2,1,0,1,Discovery-only
FLI1,1,0,1,Discovery-only
FOXA1,1,0,1,Discovery-only
FOXM1,1,0,1,Discovery-only
FXN,1,0,1,Discovery-only
DCLRE1B,1,0,1,Discovery-only
GATA3,1,0,1,Discovery-only
CCND3,1,0,1,Discovery-only
HNF1B,1,0,1,Discovery-only
CBFB,1,0,1,Discovery-only
HNRNPH1,1,0,1,Discovery-only
IRS2,1,0,1,Discovery-only
ITGB1,1,0,1,Discovery-only
JUNB,1,0,1,Discovery-only
KLF5,1,0,1,Discovery-only
BCAR1,1,0,1,Discovery-only
LCK,1,0,1,Discovery-only
DUSP6,1,0,1,Discovery-only
FLT3,0,1,-1,Translational-only
MAP2K2,1,2,-1,Downranked in discovery
JAK1,1,2,-1,Downranked in discovery
BCL2,0,1,-1,Translational-only
KRAS,2,4,-2,Downranked in discovery
FGFR1,3,5,-2,Downranked in discovery
PIK3CA,0,2,-2,Translational-only
PARP1,1,3,-2,Downranked in discovery
AKT1,0,2,-2,Translational-only
SRC,0,3,-3,Translational-only
BRAF,2,6,-4,Downranked in discovery
CDK4,8,15,-7,Downranked in discovery
BCL2L1,2,12,-10,Downranked in discovery
ERBB2,11,25,-14,Downranked in discovery
MET,8,24,-16,Downranked in discovery
CDK2,0,17,-17,Translational-only
CDK6,13,32,-19,Downranked in discovery
MAP2K1,6,26,-20,Downranked in discovery
EGFR,7,30,-23,Downranked in discovery
