Cancer_Type,X_Node_Targets,Suggested_Drug_Protocol,All_Targets_Druggable,Cell_Lines_Analyzed,Viability_Paths
Non-Small Cell Lung Cancer,EGFR + MAP2K1 + SLC2A1,EGFR: erlotinib + MAP2K1: trametinib + SLC2A1: [no approved drug],False,165,57
Non-Cancerous,E2F3 + EGFR + JUNB,E2F3: [no approved drug] + EGFR: erlotinib + JUNB: [no approved drug],False,151,63
Melanoma,FERMT2 + SOX10 + STAT3,FERMT2: [no approved drug] + SOX10: [no approved drug] + STAT3: napabucasin,False,135,63
Mature B-Cell Neoplasms,CCND1 + MCL1 + POU2AF1,CCND1: [no approved drug] + MCL1: AMG-176 + POU2AF1: [no approved drug],False,130,42
Diffuse Glioma,CCND1 + CHMP4B + RPP25L,CCND1: [no approved drug] + CHMP4B: [no approved drug] + RPP25L: [no approved drug],False,96,59
Colorectal Adenocarcinoma,CCND1 + CTNNB1 + KLF5,CCND1: [no approved drug] + CTNNB1: [no approved drug] + KLF5: [no approved drug],False,96,50
Head and Neck Squamous Cell Carcinoma,ITGB1 + PPP1R12A + STAT3,ITGB1: [no approved drug] + PPP1R12A: [no approved drug] + STAT3: napabucasin,False,89,64
Lung Neuroendocrine Tumor,E2F1 + SKP2 + STAT3,E2F1: [no approved drug] + SKP2: [no approved drug] + STAT3: napabucasin,False,85,39
Invasive Breast Carcinoma,FOXA1 + PPP1R15B + STAT3,FOXA1: [no approved drug] + PPP1R15B: [no approved drug] + STAT3: napabucasin,False,82,56
Esophagogastric Adenocarcinoma,CCND1 + RAB10 + SNAP23,CCND1: [no approved drug] + RAB10: [no approved drug] + SNAP23: [no approved drug],False,74,58
Ovarian Epithelial Tumor,CCND1 + CFLAR + PAX8,CCND1: [no approved drug] + CFLAR: [no approved drug] + PAX8: [no approved drug],False,71,51
Acute Myeloid Leukemia,CBFB + SPI1 + STAT3,CBFB: [no approved drug] + SPI1: [no approved drug] + STAT3: napabucasin,False,64,29
Pancreatic Adenocarcinoma,KRAS + STAT3 + UROD,KRAS: sotorasib + STAT3: napabucasin + UROD: [no approved drug],False,64,54
Renal Cell Carcinoma,CFLAR + HNF1B + STAT3,CFLAR: [no approved drug] + HNF1B: [no approved drug] + STAT3: napabucasin,False,56,52
Neuroblastoma,CCND1 + GATA3 + LDB1,CCND1: [no approved drug] + GATA3: [no approved drug] + LDB1: [no approved drug],False,51,58
Ewing Sarcoma,CCND1 + EEFSEC + FLI1,CCND1: [no approved drug] + EEFSEC: [no approved drug] + FLI1: [no approved drug],False,51,49
Intraductal Papillary Neoplasm of the Bile Duct,GRB2 + SLC2A1 + STAT3,GRB2: [no approved drug] + SLC2A1: [no approved drug] + STAT3: napabucasin,False,37,63
Endometrial Carcinoma,MAPK3 + PAX8 + STAT3,MAPK3: [no approved drug] + PAX8: [no approved drug] + STAT3: napabucasin,False,37,58
Pleural Mesothelioma,EGFR + ELMO2 + MAP2K1,EGFR: erlotinib + ELMO2: [no approved drug] + MAP2K1: trametinib,False,36,58
Bladder Urothelial Carcinoma,CCND1 + FYN + YAP1,CCND1: [no approved drug] + FYN: dasatinib + YAP1: [no approved drug],False,35,52
B-Cell Acute Lymphoblastic Leukemia,CCND3 + GCLC + STAT3,CCND3: [no approved drug] + GCLC: [no approved drug] + STAT3: napabucasin,False,32,29
