Cancer Type,Cell Lines,Paths,X-Node Set,Size,Cost,Coverage,Best Triple,Synergy,Resist
Non-Small Cell Lung Cancer,165,57,"EGFR, MAP2K1, SLC2A1",3,2.75,91.1%,"EGFR, MAP2K1, SLC2A1",0.94,0.42
Non-Cancerous,151,63,"E2F3, EGFR, JUNB",3,2.77,88.2%,"E2F3, EGFR, JUNB",0.94,0.42
Melanoma,135,63,"FERMT2, SOX10, STAT3",3,2.49,81.5%,"FERMT2, SOX10, STAT3",0.94,0.35
Mature B-Cell Neoplasms,130,42,"CCND1, MCL1, POU2AF1",3,3.95,82.4%,"CCND1, MCL1, POU2AF1",0.94,0.00
Diffuse Glioma,96,59,"CCND1, CHMP4B, RPP25L",3,2.80,81.6%,"CCND1, CHMP4B, RPP25L",0.94,0.00
Colorectal Adenocarcinoma,96,50,"CCND1, CTNNB1, KLF5",3,2.80,80.5%,"CCND1, CTNNB1, KLF5",0.94,0.00
Head and Neck Squamous Cell Carcinoma,89,64,"ITGB1, PPP1R12A, STAT3",3,2.73,90.4%,"ITGB1, PPP1R12A, STAT3",0.94,0.35
Lung Neuroendocrine Tumor,85,39,"E2F1, SKP2, STAT3",3,4.04,80.6%,"E2F1, SKP2, STAT3",0.94,0.35
Invasive Breast Carcinoma,82,56,"FOXA1, PPP1R15B, STAT3",3,3.76,85.7%,"FOXA1, PPP1R15B, STAT3",0.94,0.35
Esophagogastric Adenocarcinoma,74,58,"CCND1, RAB10, SNAP23",3,2.63,91.1%,"CCND1, RAB10, SNAP23",0.94,0.00
Ovarian Epithelial Tumor,71,51,"CCND1, CFLAR, PAX8",3,3.87,81.4%,"CCND1, CFLAR, PAX8",0.94,0.00
Pancreatic Adenocarcinoma,64,54,"KRAS, STAT3, UROD",3,2.60,86.4%,"KRAS, STAT3, UROD",0.94,0.44
Acute Myeloid Leukemia,64,29,"CBFB, SPI1, STAT3",3,4.79,58.6%,"CBFB, SPI1, STAT3",0.94,0.35
Renal Cell Carcinoma,56,52,"CFLAR, HNF1B, STAT3",3,2.73,82.5%,"CFLAR, HNF1B, STAT3",0.94,0.35
Neuroblastoma,51,58,"CCND1, GATA3, LDB1",3,2.42,82.4%,"CCND1, GATA3, LDB1",0.94,0.00
Ewing Sarcoma,51,49,"CCND1, EEFSEC, FLI1",3,3.53,85.4%,"CCND1, EEFSEC, FLI1",0.94,0.00
Intraductal Papillary Neoplasm of the Bile Duct,37,63,"GRB2, SLC2A1, STAT3",3,2.67,87.0%,"GRB2, SLC2A1, STAT3",0.94,0.35
Endometrial Carcinoma,37,58,"MAPK3, PAX8, STAT3",3,2.80,88.6%,"MAPK3, PAX8, STAT3",0.94,0.35
Pleural Mesothelioma,36,58,"EGFR, ELMO2, MAP2K1",3,2.79,91.1%,"EGFR, ELMO2, MAP2K1",0.94,0.42
Bladder Urothelial Carcinoma,35,52,"CCND1, FYN, YAP1",3,2.80,85.0%,"CCND1, FYN, YAP1",0.94,0.00
B-Cell Acute Lymphoblastic Leukemia,32,29,"CCND3, GCLC, STAT3",3,3.80,80.0%,"CCND3, GCLC, STAT3",0.94,0.35
Esophageal Squamous Cell Carcinoma,30,64,"ADAR, STAT3, STX4",3,2.55,90.4%,"ADAR, STAT3, STX4",0.94,0.35
Osteosarcoma,29,53,"CCND1, FXN, HNRNPH1",3,4.16,80.9%,"CCND1, FXN, HNRNPH1",0.94,0.00
T-Lymphoblastic Leukemia/Lymphoma,27,54,"CCND1, LCK, NKX2-3",3,2.70,82.9%,"CCND1, LCK, NKX2-3",0.94,0.00
Rhabdomyosarcoma,25,41,"CCND1, MCL1, MMGT1",3,2.55,82.8%,"CCND1, MCL1, MMGT1",0.94,0.00
Hepatocellular Carcinoma,24,51,"CCND1, FYN, GRB2",3,2.61,89.7%,"CCND1, FYN, GRB2",0.94,0.00
Embryonal Tumor,21,53,"CDK4, CDK6, MCL1",3,2.70,82.9%,"CDK4, CDK6, MCL1",0.81,0.26
Myeloproliferative Neoplasms,18,46,"GAB2, SOS1, STAT3",3,2.77,85.7%,"GAB2, SOS1, STAT3",0.94,0.35
Mature T and NK Neoplasms,17,47,"RPL15, RPL21, STAT3",3,0.80,83.8%,"RPL15, RPL21, STAT3",0.94,0.35
Non-Hodgkin Lymphoma,16,39,"CDK4, CDK6, NFKB1",3,2.62,81.2%,"CDK4, CDK6, NFKB1",0.81,0.26
Rhabdoid Cancer,16,51,"CCND1, DCLRE1B, UBE2D3",3,2.68,81.6%,"CCND1, DCLRE1B, UBE2D3",0.94,0.00
Ocular Melanoma,15,50,"ANKUB1, CCND1, E2F3",3,2.29,83.3%,"ANKUB1, CCND1, E2F3",0.94,0.00
Cervical Squamous Cell Carcinoma,15,25,"E2F3, STAT3, ZER1",3,3.64,84.6%,None,0.00,1.00
Liposarcoma,13,54,"CCND1, FGFR1, GRB2",3,2.20,85.4%,"CCND1, FGFR1, GRB2",0.94,0.00
Anaplastic Thyroid Cancer,13,62,"SEPHS2, STAT3, YAP1",3,2.58,82.0%,"SEPHS2, STAT3, YAP1",0.94,0.35
Non-Seminomatous Germ Cell Tumor,12,50,"CCND1, FYN, PARP1",3,4.18,84.1%,"CCND1, FYN, PARP1",0.94,0.00
Leiomyosarcoma,11,56,"EGFR, KRAS, PTK2",3,2.74,81.6%,"EGFR, KRAS, PTK2",0.94,0.35
Synovial Sarcoma,10,51,"SPECC1L, STAT3, YAP1",3,2.77,89.7%,"SPECC1L, STAT3, YAP1",0.94,0.35
Chondrosarcoma,9,12,"BCAR1, CCNE2, MET",3,2.17,83.3%,"BCAR1, CCNE2, MET",0.94,0.00
Nerve Sheath Tumor,9,56,"CCND1, FGFR1, GRB2",3,2.80,93.0%,"CCND1, FGFR1, GRB2",0.94,0.00
Hodgkin Lymphoma,9,34,"CCND1, CFL1, JAK1",3,2.30,82.8%,"CCND1, CFL1, JAK1",0.94,0.00
Well-Differentiated Thyroid Cancer,9,49,"E2F3, EGFR, SOCS3",3,2.80,84.8%,"E2F3, EGFR, SOCS3",0.94,0.42
Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,9,50,"CCND1, FGFR1, FYN",3,2.53,82.9%,"CCND1, FGFR1, FYN",0.94,0.00
Merkel Cell Carcinoma,8,20,"CCNE1, PTK2, YAP1",3,2.60,81.2%,"CCNE1, PTK2, YAP1",0.94,0.00
Intracholecystic Papillary Neoplasm,7,58,"RAF1, SREBF1, STAT3",3,1.26,80.9%,"RAF1, SREBF1, STAT3",0.94,0.35
Cervical Adenocarcinoma,7,42,"CTNNB1, EGFR, TGIF1",3,2.76,81.0%,"CTNNB1, EGFR, TGIF1",0.94,0.42
Breast Ductal Carcinoma In Situ,6,47,"ERBB2, MET, SREBF1",3,2.72,83.0%,"ERBB2, MET, SREBF1",0.81,0.00
Prostate Adenocarcinoma,6,54,"ANKUB1, CCND1, NPIPB11",3,1.90,82.9%,"ANKUB1, CCND1, NPIPB11",0.94,0.00
Cutaneous Squamous Cell Carcinoma,6,51,"PXN, SNAI2, STAT3",3,1.49,82.1%,"PXN, SNAI2, STAT3",0.94,0.35
Wilms' Tumor,5,0,None found,0,0.00,0.0%,None,0.00,1.00
Ampullary Carcinoma,5,58,"CTNNB1, SLC2A1, STAT3",3,1.30,80.9%,"CTNNB1, SLC2A1, STAT3",0.94,0.35
"Breast Neoplasm, NOS",4,18,"BCL2L1, MET, PXN",3,2.52,83.3%,"BCL2L1, MET, PXN",0.94,0.00
Uterine Sarcoma/Mesenchymal,4,32,"E2F3, EGFR, TFCP2L1",3,2.80,85.7%,"E2F3, EGFR, TFCP2L1",0.94,0.42
Meningothelial Tumor,4,55,"CDK4, CDK6, MCL1",3,2.67,81.8%,"CDK4, CDK6, MCL1",0.81,0.26
SMARCA4-deficient undifferentiated tumor,4,30,"CDK6, ERBB2, PTK2",3,1.48,83.3%,"CDK6, ERBB2, PTK2",0.94,0.00
Hepatoblastoma,3,30,"MAPK1, MCL1, MEK1",3,1.00,83.3%,"MAPK1, MCL1, MEK1",0.94,0.00
Gestational Trophoblastic Disease,3,29,"CCND1, MCL1, YAP1",3,2.70,83.3%,"CCND1, MCL1, YAP1",0.94,0.00
Fibrosarcoma,3,51,"ERBB2, MAPK1, MET",3,2.54,80.4%,"ERBB2, MAPK1, MET",0.81,0.00
"Head and Neck Carcinoma, Other",3,42,"CDK6, ERBB2, YAP1",3,2.80,83.3%,"CDK6, ERBB2, YAP1",0.94,0.00
Mucosal Melanoma of the Vulva/Vagina,3,42,"BRAF, CDK6, ERBB2",3,1.00,81.0%,"BRAF, CDK6, ERBB2",0.94,0.39
Acute Leukemias of Ambiguous Lineage,3,27,"CDK6, MAP2K1, STAT5A",3,1.50,100.0%,"CDK6, MAP2K1, STAT5A",0.94,0.00
Chordoma,3,0,None found,0,0.00,0.0%,None,0.00,1.00
Desmoid/Aggressive Fibromatosis,3,0,None found,0,0.00,0.0%,None,0.00,1.00
CIC-DUX4 Sarcoma,3,0,None found,0,0.00,0.0%,None,0.00,1.00
Adrenocortical Carcinoma,2,36,"CCNE1, CDK6, MCL1",3,1.50,80.6%,"CCNE1, CDK6, MCL1",0.81,0.00
Small Bowel Cancer,2,0,None found,0,0.00,0.0%,None,0.00,1.00
Retinoblastoma,2,12,"FOXM1, IRS2, STAT5A",3,3.90,91.7%,"FOXM1, IRS2, STAT5A",0.94,0.00
Medullary Thyroid Cancer,2,0,None found,0,0.00,0.0%,None,0.00,1.00
Urethral Cancer,2,35,"ERBB2, MAP2K1, MET",3,2.71,82.9%,"ERBB2, MAP2K1, MET",0.81,0.00
Squamous Cell Carcinoma of the Vulva/Vagina,2,44,"CDK6, ERBB2, PXN",3,1.50,86.4%,"CDK6, ERBB2, PXN",0.94,0.00
Bladder Squamous Cell Carcinoma,2,38,"E2F3, ERBB2, PXN",3,1.20,81.6%,"E2F3, ERBB2, PXN",0.94,0.00
Clear Cell Sarcoma,2,38,"CDK4, ERBB3, GRB2",3,1.00,84.2%,"CDK4, ERBB3, GRB2",0.94,0.39
Extra Gonadal Germ Cell Tumor,2,27,"CCNE1, MCL1, RPS6KB1",3,2.48,81.5%,"CCNE1, MCL1, RPS6KB1",0.94,0.00
Salivary Carcinoma,2,50,"CDK4, CDK6, MCL1",3,2.32,84.0%,"CDK4, CDK6, MCL1",0.81,0.26
Myxofibrosarcoma,2,0,None found,0,0.00,0.0%,None,0.00,1.00
Epithelioid Sarcoma,2,36,"ERBB2, MAP2K1, MET",3,1.50,83.3%,"ERBB2, MAP2K1, MET",0.81,0.00
Adenosquamous Carcinoma of the Pancreas,2,43,"CDK6, ERBB2, PTK2",3,1.00,86.0%,"CDK6, ERBB2, PTK2",0.94,0.00
Small Cell Carcinoma of the Cervix,1,0,None found,0,0.00,0.0%,None,0.00,1.00
Ovarian Germ Cell Tumor,1,43,"CDK4, DUSP6, PTK2",3,2.71,86.0%,"CDK4, DUSP6, PTK2",0.94,0.39
"Sarcoma, NOS",1,38,"CDK6, ERBB2, MET",3,1.30,81.6%,"CDK6, ERBB2, MET",0.81,0.00
Hepatocellular Carcinoma plus Intrahepatic Cholangiocarcinoma,1,25,"GAB2, MAP2K2, STAT3",3,1.50,100.0%,"GAB2, MAP2K2, STAT3",0.94,0.35
Glassy Cell Carcinoma of the Cervix,1,44,"CDK4, MAP2K1, MCL1",3,2.42,81.8%,"CDK4, MAP2K1, MCL1",0.94,0.39
"Ovarian Cancer, Other",1,0,None found,0,0.00,0.0%,None,0.00,1.00
Mixed Cervical Carcinoma,1,6,"GRB2, MEK1, SREBF1",3,1.20,100.0%,"GRB2, MEK1, SREBF1",0.94,0.00
Pancreatic Neuroendocrine Tumor,1,0,None found,0,0.00,0.0%,None,0.00,1.00
Prostate Small Cell Carcinoma,1,0,None found,0,0.00,0.0%,None,0.00,1.00
Gastrointestinal Stromal Tumor,1,0,None found,0,0.00,0.0%,None,0.00,1.00
Sex Cord Stromal Tumor,1,0,None found,0,0.00,0.0%,None,0.00,1.00
Hereditary Spherocytosis,1,0,None found,0,0.00,0.0%,None,0.00,1.00
Gastrointestinal Neuroendocrine Tumors,1,0,None found,0,0.00,0.0%,None,0.00,1.00
Dermatofibrosarcoma Protuberans,1,0,None found,0,0.00,0.0%,None,0.00,1.00
Prostate Neuroendocrine Carcinoma,1,0,None found,0,0.00,0.0%,None,0.00,1.00
Alveolar Soft Part Sarcoma,1,0,None found,0,0.00,0.0%,None,0.00,1.00
Poorly Differentiated Thyroid Cancer,1,37,"BCL2L1, BRAF, MET",3,1.43,83.8%,"BCL2L1, BRAF, MET",0.94,0.39
Small Cell Neuroendocrine Carcinoma of the Cervix,1,0,None found,0,0.00,0.0%,None,0.00,1.00
Giant Cell Tumor of Bone,1,43,"CDK4, CDK6, PTK2",3,1.50,86.0%,"CDK4, CDK6, PTK2",0.81,0.26
