Cancer_Type,Translational_Triple,Discovery_Triple,Overlap,Status
Acute Leukemias of Ambiguous Lineage,BCL2L1 + MET + SRC,CDK6 + MAP2K1 + STAT5A,0,DIFFERENT
Acute Myeloid Leukemia,CDK2 + CDK6 + MCL1,CBFB + SPI1 + STAT3,0,DIFFERENT
Adenosquamous Carcinoma of the Pancreas,CDK6 + ERBB2 + MAP2K1,CDK6 + ERBB2 + PTK2,2,2/3 overlap
Adrenocortical Carcinoma,CDK2 + ERBB2 + JAK1,CCNE1 + CDK6 + MCL1,0,DIFFERENT
Ampullary Carcinoma,ERBB2 + MET + SRC,CTNNB1 + SLC2A1 + STAT3,0,DIFFERENT
Anaplastic Thyroid Cancer,CDK6 + EGFR + MAP2K1,SEPHS2 + STAT3 + YAP1,0,DIFFERENT
B-Cell Acute Lymphoblastic Leukemia,CDK6 + FLT3 + MCL1,CCND3 + GCLC + STAT3,0,DIFFERENT
Bladder Squamous Cell Carcinoma,CDK2 + ERBB2 + MAP2K1,E2F3 + ERBB2 + PXN,1,1/3 overlap
Bladder Urothelial Carcinoma,CDK2 + EGFR + MAP2K1,CCND1 + FYN + YAP1,0,DIFFERENT
Breast Ductal Carcinoma In Situ,AKT1 + ERBB2 + MET,ERBB2 + MET + SREBF1,2,2/3 overlap
"Breast Neoplasm, NOS",FYN + MET + SRC,BCL2L1 + MET + PXN,1,1/3 overlap
Cervical Adenocarcinoma,CDK4 + ERBB2 + MET,CTNNB1 + EGFR + TGIF1,0,DIFFERENT
Chondrosarcoma,CDK2 + ERBB2 + MET,BCAR1 + CCNE2 + MET,1,1/3 overlap
Clear Cell Sarcoma,ERBB2 + FGFR1 + MET,CDK4 + ERBB3 + GRB2,0,DIFFERENT
Colorectal Adenocarcinoma,BCL2L1 + EGFR + KRAS,CCND1 + CTNNB1 + KLF5,0,DIFFERENT
Cutaneous Squamous Cell Carcinoma,BCL2L1 + CDK6 + ERBB2,PXN + SNAI2 + STAT3,0,DIFFERENT
Diffuse Glioma,CDK2 + EGFR + MAP2K1,CCND1 + CHMP4B + RPP25L,0,DIFFERENT
Embryonal Tumor,CDK4 + CDK6 + MCL1,CDK4 + CDK6 + MCL1,3,IDENTICAL
Endometrial Carcinoma,CDK2 + EGFR + MET,MAPK3 + PAX8 + STAT3,0,DIFFERENT
Epithelioid Sarcoma,ERBB2 + MAP2K1 + MET,ERBB2 + MAP2K1 + MET,3,IDENTICAL
Esophageal Squamous Cell Carcinoma,CDK4 + CDK6 + ERBB2,ADAR + STAT3 + STX4,0,DIFFERENT
Esophagogastric Adenocarcinoma,CDK6 + EGFR + PIK3CA,CCND1 + RAB10 + SNAP23,0,DIFFERENT
Ewing Sarcoma,EGFR + KRAS + MET,CCND1 + EEFSEC + FLI1,0,DIFFERENT
Extra Gonadal Germ Cell Tumor,AKT1 + ERBB2 + MET,CCNE1 + MCL1 + RPS6KB1,0,DIFFERENT
Fibrosarcoma,CDK4 + CDK6 + MCL1,ERBB2 + MAPK1 + MET,0,DIFFERENT
Gestational Trophoblastic Disease,BCL2L1 + EGFR + MET,CCND1 + MCL1 + YAP1,0,DIFFERENT
Giant Cell Tumor of Bone,BCL2L1 + CDK4 + CDK6,CDK4 + CDK6 + PTK2,2,2/3 overlap
Glassy Cell Carcinoma of the Cervix,CDK4 + MAP2K1 + MCL1,CDK4 + MAP2K1 + MCL1,3,IDENTICAL
"Head and Neck Carcinoma, Other",CDK6 + ERBB2 + MAP2K1,CDK6 + ERBB2 + YAP1,2,2/3 overlap
Head and Neck Squamous Cell Carcinoma,CDK4 + CDK6 + ERBB2,ITGB1 + PPP1R12A + STAT3,0,DIFFERENT
Hepatoblastoma,BCL2L1 + BRAF + MET,MAPK1 + MCL1 + MEK1,0,DIFFERENT
Hepatocellular Carcinoma,BCL2L1 + EGFR + MAP2K1,CCND1 + FYN + GRB2,0,DIFFERENT
Hepatocellular Carcinoma plus Intrahepatic Cholangiocarcinoma,MAP2K2 + MET + STAT3,GAB2 + MAP2K2 + STAT3,2,2/3 overlap
Hodgkin Lymphoma,CDK6 + JAK1 + MCL1,CCND1 + CFL1 + JAK1,1,1/3 overlap
Intracholecystic Papillary Neoplasm,CDK4 + ERBB2 + MAP2K1,RAF1 + SREBF1 + STAT3,0,DIFFERENT
Intraductal Papillary Neoplasm of the Bile Duct,CDK6 + MAP2K1 + STAT3,GRB2 + SLC2A1 + STAT3,1,1/3 overlap
Invasive Breast Carcinoma,BCL2L1 + EGFR + MAP2K1,FOXA1 + PPP1R15B + STAT3,0,DIFFERENT
Leiomyosarcoma,BRAF + EGFR + KRAS,EGFR + KRAS + PTK2,2,2/3 overlap
Liposarcoma,EGFR + FGFR1 + MET,CCND1 + FGFR1 + GRB2,1,1/3 overlap
Lung Neuroendocrine Tumor,CDK2 + MAP2K1 + STAT3,E2F1 + SKP2 + STAT3,1,1/3 overlap
Mature B-Cell Neoplasms,CDK2 + CDK4 + CDK6,CCND1 + MCL1 + POU2AF1,0,DIFFERENT
Mature T and NK Neoplasms,CDK4 + CDK6 + ERBB2,RPL15 + RPL21 + STAT3,0,DIFFERENT
Melanoma,CDK6 + EGFR + MAP2K1,FERMT2 + SOX10 + STAT3,0,DIFFERENT
Meningothelial Tumor,CDK4 + CDK6 + MCL1,CDK4 + CDK6 + MCL1,3,IDENTICAL
Merkel Cell Carcinoma,CDK2 + PIK3CA + STAT3,CCNE1 + PTK2 + YAP1,0,DIFFERENT
Mixed Cervical Carcinoma,BCL2L1 + MAP2K1 + MAP2K2,GRB2 + MEK1 + SREBF1,0,DIFFERENT
Mucosal Melanoma of the Vulva/Vagina,BRAF + CDK6 + ERBB2,BRAF + CDK6 + ERBB2,3,IDENTICAL
Myeloproliferative Neoplasms,CDK2 + EGFR + MET,GAB2 + SOS1 + STAT3,0,DIFFERENT
Nerve Sheath Tumor,EGFR + FGFR1 + MAP2K1,CCND1 + FGFR1 + GRB2,1,1/3 overlap
Neuroblastoma,CDK6 + EGFR + MAP2K1,CCND1 + GATA3 + LDB1,0,DIFFERENT
Non-Cancerous,CDK2 + EGFR + MAP2K1,E2F3 + EGFR + JUNB,1,1/3 overlap
Non-Hodgkin Lymphoma,CDK2 + CDK4 + CDK6,CDK4 + CDK6 + NFKB1,2,2/3 overlap
Non-Seminomatous Germ Cell Tumor,EGFR + MET + PARP1,CCND1 + FYN + PARP1,1,1/3 overlap
Non-Small Cell Lung Cancer,CDK6 + EGFR + MAP2K1,EGFR + MAP2K1 + SLC2A1,2,2/3 overlap
Ocular Melanoma,CDK2 + EGFR + MAP2K1,ANKUB1 + CCND1 + E2F3,0,DIFFERENT
Osteosarcoma,CDK2 + EGFR + MET,CCND1 + FXN + HNRNPH1,0,DIFFERENT
Ovarian Epithelial Tumor,CDK2 + EGFR + MET,CCND1 + CFLAR + PAX8,0,DIFFERENT
Ovarian Germ Cell Tumor,BCL2L1 + CDK4 + ERBB2,CDK4 + DUSP6 + PTK2,1,1/3 overlap
Pancreatic Adenocarcinoma,FYN + KRAS + STAT3,KRAS + STAT3 + UROD,2,2/3 overlap
Pleural Mesothelioma,EGFR + FGFR1 + MAP2K1,EGFR + ELMO2 + MAP2K1,2,2/3 overlap
Poorly Differentiated Thyroid Cancer,BRAF + ERBB2 + MET,BCL2L1 + BRAF + MET,2,2/3 overlap
Prostate Adenocarcinoma,CDK2 + EGFR + MAP2K1,ANKUB1 + CCND1 + NPIPB11,0,DIFFERENT
Renal Cell Carcinoma,CDK6 + EGFR + MAP2K1,CFLAR + HNF1B + STAT3,0,DIFFERENT
Retinoblastoma,BCL2L1 + CDK6 + ERBB2,FOXM1 + IRS2 + STAT5A,0,DIFFERENT
Rhabdoid Cancer,FGFR1 + PARP1 + STAT3,CCND1 + DCLRE1B + UBE2D3,0,DIFFERENT
Rhabdomyosarcoma,CDK4 + CDK6 + ERBB2,CCND1 + MCL1 + MMGT1,0,DIFFERENT
SMARCA4-deficient undifferentiated tumor,CDK6 + ERBB2 + MET,CDK6 + ERBB2 + PTK2,2,2/3 overlap
Salivary Carcinoma,CDK4 + CDK6 + MCL1,CDK4 + CDK6 + MCL1,3,IDENTICAL
"Sarcoma, NOS",CDK6 + ERBB2 + MET,CDK6 + ERBB2 + MET,3,IDENTICAL
Squamous Cell Carcinoma of the Vulva/Vagina,CDK6 + ERBB2 + MAP2K1,CDK6 + ERBB2 + PXN,2,2/3 overlap
Synovial Sarcoma,CDK6 + EGFR + MET,SPECC1L + STAT3 + YAP1,0,DIFFERENT
T-Lymphoblastic Leukemia/Lymphoma,BCL2 + BCL2L1 + EGFR,CCND1 + LCK + NKX2-3,0,DIFFERENT
Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,BRAF + EGFR + PARP1,CCND1 + FGFR1 + FYN,0,DIFFERENT
Urethral Cancer,ERBB2 + MAP2K1 + MET,ERBB2 + MAP2K1 + MET,3,IDENTICAL
Uterine Sarcoma/Mesenchymal,CDK6 + EGFR + MAP2K1,E2F3 + EGFR + TFCP2L1,1,1/3 overlap
Well-Differentiated Thyroid Cancer,BRAF + CDK6 + EGFR,E2F3 + EGFR + SOCS3,1,1/3 overlap
