Cancer_Type,Lineage,Cell_Lines,Triple_Targets,Target_1,Target_2,Target_3,Combined_Score,Synergy_Score,Resistance_Score,Path_Coverage,Druggable_Count,Drug_1,Drug_2,Drug_3,Pathways_Covered
Mature B-Cell Neoplasms,Lymphoid,130,CCND1 + MCL1 + POU2AF1,CCND1,MCL1,POU2AF1,1.527,0.94,0.00,50.0%,0,N/A,AMG-176,N/A,2
Diffuse Glioma,CNS/Brain,96,CCND1 + CHMP4B + RPP25L,CCND1,CHMP4B,RPP25L,1.680,0.94,0.00,54.2%,0,N/A,N/A,N/A,1
Colorectal Adenocarcinoma,Bowel,96,CCND1 + CTNNB1 + KLF5,CCND1,CTNNB1,KLF5,1.564,0.94,0.00,50.0%,0,N/A,N/A,N/A,2
Esophagogastric Adenocarcinoma,Esophagus/Stomach,74,CCND1 + RAB10 + SNAP23,CCND1,RAB10,SNAP23,1.699,0.94,0.00,56.9%,0,N/A,N/A,N/A,1
Ovarian Epithelial Tumor,Ovary/Fallopian Tube,71,CCND1 + CFLAR + PAX8,CCND1,CFLAR,PAX8,1.629,0.94,0.00,54.9%,0,N/A,N/A,N/A,1
Neuroblastoma,Peripheral Nervous System,51,CCND1 + GATA3 + LDB1,CCND1,GATA3,LDB1,1.647,0.94,0.00,58.6%,0,N/A,N/A,N/A,1
Ewing Sarcoma,Bone,51,CCND1 + EEFSEC + FLI1,CCND1,EEFSEC,FLI1,1.489,0.94,0.00,51.0%,0,N/A,N/A,N/A,1
Bladder Urothelial Carcinoma,Bladder/Urinary Tract,35,CCND1 + FYN + YAP1,CCND1,FYN,YAP1,1.691,0.94,0.00,50.0%,1,N/A,dasatinib,N/A,3
Osteosarcoma,Bone,29,CCND1 + FXN + HNRNPH1,CCND1,FXN,HNRNPH1,1.632,0.94,0.00,52.8%,0,N/A,N/A,N/A,1
T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,27,CCND1 + LCK + NKX2-3,CCND1,LCK,NKX2-3,1.799,0.94,0.00,57.4%,0,N/A,N/A,N/A,2
Rhabdomyosarcoma,Soft Tissue,25,CCND1 + MCL1 + MMGT1,CCND1,MCL1,MMGT1,1.587,0.94,0.00,51.2%,0,N/A,AMG-176,N/A,2
Hepatocellular Carcinoma,Liver,24,CCND1 + FYN + GRB2,CCND1,FYN,GRB2,1.704,0.94,0.00,51.0%,1,N/A,dasatinib,N/A,2
Rhabdoid Cancer,Kidney,16,CCND1 + DCLRE1B + UBE2D3,CCND1,DCLRE1B,UBE2D3,1.595,0.94,0.00,51.0%,0,N/A,N/A,N/A,1
Ocular Melanoma,Eye,15,ANKUB1 + CCND1 + E2F3,ANKUB1,CCND1,E2F3,1.563,0.94,0.00,50.0%,0,N/A,N/A,N/A,1
Liposarcoma,Soft Tissue,13,CCND1 + FGFR1 + GRB2,CCND1,FGFR1,GRB2,1.590,0.94,0.00,53.7%,1,N/A,erdafitinib,N/A,2
Non-Seminomatous Germ Cell Tumor,Testis,12,CCND1 + FYN + PARP1,CCND1,FYN,PARP1,1.732,0.94,0.00,52.0%,2,N/A,dasatinib,olaparib,2
Chondrosarcoma,Bone,9,BCAR1 + CCNE2 + MET,BCAR1,CCNE2,MET,0.933,0.94,0.00,50.0%,1,N/A,N/A,capmatinib,1
Nerve Sheath Tumor,Peripheral Nervous System,9,CCND1 + FGFR1 + GRB2,CCND1,FGFR1,GRB2,1.703,0.94,0.00,58.9%,1,N/A,erdafitinib,N/A,2
Hodgkin Lymphoma,Lymphoid,9,CCND1 + CFL1 + JAK1,CCND1,CFL1,JAK1,1.369,0.94,0.00,50.0%,1,N/A,N/A,ruxolitinib,2
Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,Soft Tissue,9,CCND1 + FGFR1 + FYN,CCND1,FGFR1,FYN,1.683,0.94,0.00,52.0%,2,N/A,erdafitinib,dasatinib,3
Merkel Cell Carcinoma,Skin,8,CCNE1 + PTK2 + YAP1,CCNE1,PTK2,YAP1,1.442,0.94,0.00,50.0%,0,N/A,N/A,N/A,2
Prostate Adenocarcinoma,Prostate,6,ANKUB1 + CCND1 + NPIPB11,ANKUB1,CCND1,NPIPB11,1.435,0.94,0.00,50.0%,0,N/A,N/A,N/A,1
"Breast Neoplasm, NOS",Breast,4,BCL2L1 + MET + PXN,BCL2L1,MET,PXN,1.169,0.94,0.00,50.0%,2,navitoclax,capmatinib,N/A,2
SMARCA4-deficient undifferentiated tumor,Lung,4,CDK6 + ERBB2 + PTK2,CDK6,ERBB2,PTK2,1.173,0.94,0.00,50.0%,2,palbociclib,trastuzumab,N/A,2
Acute Leukemias of Ambiguous Lineage,Myeloid,3,CDK6 + MAP2K1 + STAT5A,CDK6,MAP2K1,STAT5A,1.403,0.94,0.00,51.9%,2,palbociclib,trametinib,N/A,3
Hepatoblastoma,Liver,3,MAPK1 + MCL1 + MEK1,MAPK1,MCL1,MEK1,1.428,0.94,0.00,50.0%,0,N/A,AMG-176,N/A,2
"Head and Neck Carcinoma, Other",Head and Neck,3,CDK6 + ERBB2 + YAP1,CDK6,ERBB2,YAP1,1.710,0.94,0.00,54.8%,2,palbociclib,trastuzumab,N/A,3
Gestational Trophoblastic Disease,Uterus,3,CCND1 + MCL1 + YAP1,CCND1,MCL1,YAP1,1.570,0.94,0.00,51.7%,0,N/A,AMG-176,N/A,3
Extra Gonadal Germ Cell Tumor,Other,2,CCNE1 + MCL1 + RPS6KB1,CCNE1,MCL1,RPS6KB1,1.305,0.94,0.00,51.9%,0,N/A,AMG-176,N/A,2
Adenosquamous Carcinoma of the Pancreas,Pancreas,2,CDK6 + ERBB2 + PTK2,CDK6,ERBB2,PTK2,1.409,0.94,0.00,51.2%,2,palbociclib,trastuzumab,N/A,2
