Cancer_Type,Lineage,Cell_Lines,Combination_Size,Target_Position,Target_Gene,Clinical_Stage,Available_Drugs,Known_Toxicities,Full_Combination,Path_Coverage,Cost_Score
Non-Small Cell Lung Cancer,Lung,165,3,1,EGFR,approved,erlotinib; gefitinib; osimertinib; afatinib; cetuximab,rash; diarrhea; ILD,EGFR + MAP2K1 + SLC2A1,91.1%,2.75
Non-Small Cell Lung Cancer,Lung,165,3,2,MAP2K1,approved,trametinib; cobimetinib; binimetinib,rash; retinopathy,EGFR + MAP2K1 + SLC2A1,91.1%,2.75
Non-Small Cell Lung Cancer,Lung,165,3,3,SLC2A1,unknown,,,EGFR + MAP2K1 + SLC2A1,91.1%,2.75
Non-Cancerous,Lymphoid,151,3,1,E2F3,unknown,,,E2F3 + EGFR + JUNB,88.2%,2.77
Non-Cancerous,Lymphoid,151,3,2,EGFR,approved,erlotinib; gefitinib; osimertinib; afatinib; cetuximab,rash; diarrhea; ILD,E2F3 + EGFR + JUNB,88.2%,2.77
Non-Cancerous,Lymphoid,151,3,3,JUNB,unknown,,,E2F3 + EGFR + JUNB,88.2%,2.77
Melanoma,Skin,135,3,1,FERMT2,unknown,,,FERMT2 + SOX10 + STAT3,81.5%,2.49
Melanoma,Skin,135,3,2,SOX10,unknown,,,FERMT2 + SOX10 + STAT3,81.5%,2.49
Melanoma,Skin,135,3,3,STAT3,phase2,napabucasin; TTI-101; stattic,GI toxicity,FERMT2 + SOX10 + STAT3,81.5%,2.49
Mature B-Cell Neoplasms,Lymphoid,130,3,1,CCND1,unknown,,,CCND1 + MCL1 + POU2AF1,82.4%,3.95
Mature B-Cell Neoplasms,Lymphoid,130,3,2,MCL1,phase1,AMG-176; S64315,cardiotoxicity,CCND1 + MCL1 + POU2AF1,82.4%,3.95
Mature B-Cell Neoplasms,Lymphoid,130,3,3,POU2AF1,unknown,,,CCND1 + MCL1 + POU2AF1,82.4%,3.95
Diffuse Glioma,CNS/Brain,96,3,1,CCND1,unknown,,,CCND1 + CHMP4B + RPP25L,81.6%,2.80
Diffuse Glioma,CNS/Brain,96,3,2,CHMP4B,unknown,,,CCND1 + CHMP4B + RPP25L,81.6%,2.80
Diffuse Glioma,CNS/Brain,96,3,3,RPP25L,unknown,,,CCND1 + CHMP4B + RPP25L,81.6%,2.80
Colorectal Adenocarcinoma,Bowel,96,3,1,CCND1,unknown,,,CCND1 + CTNNB1 + KLF5,80.5%,2.80
Colorectal Adenocarcinoma,Bowel,96,3,2,CTNNB1,unknown,,,CCND1 + CTNNB1 + KLF5,80.5%,2.80
Colorectal Adenocarcinoma,Bowel,96,3,3,KLF5,unknown,,,CCND1 + CTNNB1 + KLF5,80.5%,2.80
Head and Neck Squamous Cell Carcinoma,Head and Neck,89,3,1,ITGB1,unknown,,,ITGB1 + PPP1R12A + STAT3,90.4%,2.73
Head and Neck Squamous Cell Carcinoma,Head and Neck,89,3,2,PPP1R12A,unknown,,,ITGB1 + PPP1R12A + STAT3,90.4%,2.73
