Cancer_Type,Lineage,Cell_Lines,Triple_Targets,Target_1,Target_2,Target_3,Combined_Score,Synergy_Score,Resistance_Score,Path_Coverage,Druggable_Count,Drug_1,Drug_2,Drug_3,Pathways_Covered,Synergy,Resistance,Coverage,Druggable
Non-Seminomatous Germ Cell Tumor,Testis,12,FYN + SRC + STAT3,FYN,SRC,STAT3,0.581,0.95,0.15,57.4%,3.0,dasatinib,dasatinib,napabucasin,2.0,,,,
Squamous Cell Carcinoma of the Vulva/Vagina,Vulva/Vagina,2,FYN + SRC + STAT3,FYN,SRC,STAT3,0.525,0.95,0.15,68.2%,3.0,dasatinib,dasatinib,napabucasin,2.0,,,,
Non-Cancerous,Lymphoid,151,CDK6 + FYN + STAT3,CDK6,FYN,STAT3,0.576,0.94,0.35,59.3%,3.0,palbociclib,dasatinib,napabucasin,3.0,,,,
Neuroblastoma,Peripheral Nervous System,51,CDK6 + FYN + STAT3,CDK6,FYN,STAT3,0.52,0.94,0.35,73.9%,3.0,palbociclib,dasatinib,napabucasin,3.0,,,,
Intraductal Papillary Neoplasm of the Bile Duct,Biliary Tract,37,CDK6 + FYN + STAT3,CDK6,FYN,STAT3,0.548,0.94,0.35,65.4%,3.0,palbociclib,dasatinib,napabucasin,3.0,,,,
Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,30,CDK6 + FYN + STAT3,CDK6,FYN,STAT3,0.57,0.94,0.35,66.7%,3.0,palbociclib,dasatinib,napabucasin,3.0,,,,
Osteosarcoma,Bone,29,CDK2 + FYN + STAT3,CDK2,FYN,STAT3,0.564,0.94,0.35,62.5%,3.0,dinaciclib,dasatinib,napabucasin,3.0,,,,
Myeloproliferative Neoplasms,Myeloid,18,CDK6 + FYN + STAT3,CDK6,FYN,STAT3,0.575,0.94,0.35,58.1%,3.0,palbociclib,dasatinib,napabucasin,3.0,,,,
Synovial Sarcoma,Soft Tissue,10,CDK6 + FYN + STAT3,CDK6,FYN,STAT3,0.574,0.94,0.35,58.3%,3.0,palbociclib,dasatinib,napabucasin,3.0,,,,
Well-Differentiated Thyroid Cancer,Thyroid,9,FYN + MAP2K1 + STAT3,FYN,MAP2K1,STAT3,0.564,0.94,0.35,68.8%,3.0,dasatinib,trametinib,napabucasin,3.0,,,,
Chondrosarcoma,Bone,9,CDK2 + FYN + STAT3,CDK2,FYN,STAT3,0.554,0.94,0.35,75.0%,3.0,dinaciclib,dasatinib,napabucasin,3.0,,,,
