gene,uniprot_id,gene_druggability,protein_score,blended_score,structural_score,mean_plddt,n_pdb_structures,n_ligand_bound,has_pocket,abundance_score,detection_fraction,degradability_score,has_known_degrader,degrader_exemplar,ppi_score,n_pdb_complexes,disordered_fraction,rna_expression_score,rna_expression_fraction,rna_mean_tpm,rna_n_cell_lines,concordance_rho,concordance_pvalue,concordance_tier,concordance_score
AKT1,P31749,0.9,0.8085,0.8561,0.9583333333333334,83.04720833333334,42,38,True,0.2307,0.2222,0.7,True,INY-03-041,1.0,18,0.1,1.0,1.037,6.2735,27,0.4954,1.5511095584808827e-13,moderate,0.6
AKT2,P31751,0.2,0.7801,0.3844,0.9516632016632016,82.27068607068607,19,13,True,0.3733,0.3333,0.7,True,INY-04-026-01,1.0,10,0.104,1.0,1.037,5.8637,27,0.2974,2.3091007593095887e-05,low,0.3
ALK,Q9UM73,1.0,0.6159,0.8464,0.8167592592592593,68.19397530864197,79,65,True,0.0424,0.0556,0.7,True,MS4077,1.0,8,0.271,0.1,0.0,0.0,27,0.127,0.40046656842104134,low,0.3
APC,P25054,0.2,0.5352,0.3341,0.775,75.0,31,14,True,0.2547,0.2778,0.1,False,,0.6,24,0.3,0.85,1.0,2.9303,27,0.2399,0.000827813493114947,low,0.3
AXL,P30530,0.7,0.8291,0.762,0.7363534675615213,75.05656599552573,4,4,True,1.0,0.7778,0.7,True,PROTAC compound (DB #4370),0.6,3,0.2036,1.0,0.963,4.9725,27,0.8294,2.0959735084764986e-48,high,1.0
BAK1,Q16611,0.2,0.9062,0.4131,0.9248815165876778,81.30928909952608,55,33,True,1.0,0.7778,0.5,False,,1.0,36,0.019,1.0,1.037,4.6429,27,0.5201,1.7124088658893076e-14,high,1.0
BAX,Q07812,0.2,0.839,0.3981,0.9812500000000001,85.95302083333333,37,19,True,0.4883,0.3889,0.5,False,,1.0,20,0.0521,1.0,1.037,6.7158,27,0.5396,3.322359399642375e-16,high,1.0
BBC3,Q9BXH1,0.2,0.5524,0.341,0.6282383419689119,59.179274611398974,13,9,True,0.4977,0.3889,0.1,False,,0.6,13,0.4145,0.85,1.0,2.9955,27,0.4501,4.192919680318902e-09,moderate,0.6
BCL2,P10415,1.0,0.6576,0.863,0.8221757322175732,72.02326359832635,55,40,True,0.1644,0.2222,0.7,True,PROTAC compound (DB #503),1.0,22,0.251,0.3,0.3333,1.357,27,0.4549,4.641625505974371e-06,moderate,0.6
BCL2L1,Q07817,0.65,0.8479,0.745,0.811587982832618,72.4807296137339,118,73,True,1.0,0.8333,0.7,True,DT2216,0.6,52,0.3133,1.0,1.037,7.2129,27,0.7218,4.585397417537509e-31,high,1.0
BRAF,P15056,1.0,0.6798,0.8719,0.8037206266318538,66.39011749347259,131,120,True,0.3496,0.3333,0.7,True,P5B,0.6,41,0.3864,0.85,1.037,3.1608,27,0.3704,1.232382221187758e-07,moderate,0.6
CASP3,P42574,0.2,0.8355,0.3973,0.9507220216606498,85.83194945848375,135,64,True,0.3929,0.1667,0.5,False,,1.0,125,0.1552,1.0,1.037,4.525,27,0.5818,3.7822240684078198e-19,high,1.0
CASP9,P55211,0.2,0.7146,0.3685,0.9349759615384616,80.32372596153846,10,7,True,0.1579,0.2222,0.5,False,,1.0,9,0.1755,0.85,1.037,3.0414,27,0.2993,0.00025549076087706105,low,0.3
CCND1,P24385,0.2,0.7985,0.3887,0.8216949152542373,87.31769491525424,11,4,True,0.5013,0.3889,0.5,False,,1.0,11,0.0814,1.0,1.037,7.1305,27,0.6911,3.5776923446761e-27,high,1.0
CCNE1,P24864,0.2,0.7978,0.3886,0.8836585365853659,79.52660975609757,21,20,True,0.4462,0.1111,0.5,False,,1.0,21,0.2463,0.85,1.037,3.5892,27,0.6003,1.601054527231514e-06,high,1.0
